95,49,44,15
-26,41,14,21
-28,-47,23,29
98,53,-23,-80
93,31,-33,7
-40,33,-14,-100
48,72,83,-91
27,-39,61,1
72,-66,54,25
-30,60,-18,27
-49,93,-56,43
-14,-100,57,19
-35,-29,6,-21
28,79,51,65
-39,-61,29,66
-43,-56,-98,44
61,-17,-55,-89
-50,83,55,4
-76,100,-58,84
-16,-85,-87,67
-64,-9,-62,-31
100,97,79,-42
71,78,-40,-86
-21,-51,-21,-59
69,-41,83,92
5,-7,14,2
-14,-26,68,99
84,-61,-27,52
-94,-100,-36,-28
85,-92,-32,-16
87,-43,40,50
46,-89,71,-46
-68,56,-43,49
12,9,-60,-68
95,44,99,-9
66,-32,-26,85
98,91,45,-19
-44,61,52,-9
58,-86,77,-81
11,14,24,56
61,16,-61,92
99,78,-18,78
64,-100,-57,-29
-35,87,92,-65
47,45,-41,19
53,14,88,58
44,49,59,42
-88,-27,98,63
-5,-79,-55,-12
-79,-100,-100,100
-73,-75,83,85
-67,56,-33,-80
79,89,-63,27
-73,53,-17,-35
24,-86,-52,-20
89,50,-82,-78
4,8,8,96
58,74,86,-28
76,-97,52,60
89,10,59,65
-19,11,67,31
72,45,-22,-37
89,-46,48,-40
-98,13,-18,24
95,-82,-17,57
-56,-74,-31,-23
92,56,73,38
26,-55,-67,78
95,4,-49,-27
81,21,21,-33
50,-22,21,48
-40,56,31,25
-45,-9,-44,-74
48,-1,-68,1
46,90,54,-1
-62,45,36,-13
-96,-46,86,-90
-91,-75,-47,-50
32,-19,-83,53
-19,-50,10,23
73,-43,77,-88
24,8,-59,0
94,-97,22,-28
-98,-8,-75,-97
39,-29,15,-22
-87,-46,9,-48
-2,-52,38,30
-99,60,-50,-91
-73,58,64,-24
43,-51,97,29
18,75,-61,54
-95,28,-2,38
-46,14,74,-63
-84,93,-56,-16
72,-80,90,48
-8,52,-64,93
-5,-58,-52,100
48,-59,6,-46
36,1,-38,-20
-36,-83,61,-60
-26,-83,-25,17
-49,30,14,52
-37,-86,30,-22
-12,-98,-20,42
-31,-30,-13,66
-83,-19,-4,46
29,-50,-79,87
2,9,-87,-43
-62,31,51,8
-75,9,55,-72
-85,-47,11,20
22,79,80,16
-64,37,-47,-1
-47,-22,-94,-33
-58,83,-40,-73
18,77,91,40
-78,-24,-49,59
53,-22,-3,73
-37,-88,24,73
11,-19,88,-46
80,79,-12,-63
-36,-73,27,-5
-26,-41,35,-78
-34,-68,29,48
56,79,51,-32
-29,-98,17,79
65,13,-97,78
70,32,-96,-31
-46,-92,-75,75
72,-32,-58,14
-49,45,83,73
78,-91,-50,35
-7,-96,-39,40
-52,12,-75,-42
1,16,46,59
23,-20,39,-38
16,-91,93,48
-15,89,-12,44
17,55,-56,-46
12,-80,-75,-93
51,81,5,84
78,33,-99,80
2,-82,100,-50
27,-53,-40,92
58,-77,-71,46
-48,-30,63,62
-50,40,58,62
-25,31,6,14
-51,20,6,-35
-38,-62,43,28
-74,94,-93,40
-65,-87,97,73
-34,68,-18,0
-10,82,-79,86
-75,64,-75,55
42,-7,-97,-68
32,-85,-53,-2
-26,-6,-22,-54
33,4,-26,51
-37,88,38,-23
-42,-56,-27,76
-3,-81,90,83
91,-66,-65,72
14,-42,68,-84
-43,14,-87,-64
24,-21,88,60
-89,-50,-45,57
-65,19,37,54
-16,-16,79,-45
-21,27,94,30
41,8,49,-74
69,13,-25,-86
-8,-51,65,-33
24,100,97,62
-73,92,88,89
-86,73,42,61
-53,-87,81,-89
-29,65,89,38
24,-9,77,-87
-30,-23,53,62
-82,-54,-58,-57
-53,22,-72,-50
-43,-95,-81,40
58,-97,-74,-48
11,-49,-100,67
-78,26,17,63
33,-37,-8,-69
16,74,9,-92
56,-72,-92,96
83,41,100,57
-28,-6,-22,-48
-36,18,-60,-32
45,-82,71,-98
96,-23,69,-20
-54,58,-24,67
88,-53,-46,-64
-12,-2,68,22
41,-81,29,69
-80,-76,-31,51
36,36,39,-86
80,30,-64,41
-90,-86,-31,57
-50,54,-71,25
-34,50,-80,58
73,4,25,38
90,90,-79,-59
-4,-24,54,-46
-59,-29,-21,-16
-97,26,-61,-12
-51,-92,-27,52
-19,49,27,-70
27,-38,14,38
-81,76,38,82
44,-26,56,-19
39,28,-54,-12
-72,-8,81,-36
-81,30,-18,49
99,78,80,-65
-58,70,-96,92
-3,-95,-9,-67
35,-41,-4,-2
53,-10,-70,74
-35,5,42,4
16,-55,-56,32
-87,-40,-74,72
-82,-48,78,15
46,-8,-21,-23
-31,1,-50,-16
-61,38,-91,71
100,-14,-27,-93
-30,87,-57,-31
-88,57,-60,-34
-65,-50,30,-79
-48,25,-85,-70
-15,66,5,28
-44,-3,-9,27
28,-91,80,67
-3,-48,-67,-72
95,71,-32,-35
35,65,55,-60
4,-71,94,-46
6,-55,42,58
-77,-47,-27,-17
-47,64,30,27
-45,50,-60,58
35,46,-62,80
-99,-8,-18,-70
-42,-81,-78,21
28,49,-17,-78
39,-50,1,-81
66,-37,55,16
92,-39,-33,28
-83,-74,-54,7
-45,71,-9,-30
-55,38,100,-51
62,0,21,-65
69,-93,-15,-55
-30,56,19,57
97,74,-56,-26
-37,95,-45,-100
-4,43,-33,87
39,-100,-29,-43
19,-34,-60,47
42,-85,67,67
-45,-61,16,-39
87,-63,-91,81
86,-9,-78,80
25,-87,70,78
-82,89,25,45
-36,-35,18,41
93,90,5,36
-40,-68,-41,-57
47,70,11,-28
90,-29,-76,-2
-34,18,63,-26
69,-93,34,71
-60,-35,21,79
55,-83,-88,74
-63,90,75,-21
-88,16,-12,47
-63,-8,13,71
98,-71,-31,-17
-3,73,47,-88
-81,-77,-59,-57
42,-60,99,36
67,2,68,-22
51,-27,0,-82
69,-71,-45,78
24,-89,59,75
-50,17,-38,79
-13,-57,-75,78
91,-36,-9,-46
88,-14,-67,-73
-39,-38,37,37
-91,45,5,-58
-34,71,49,61
-58,84,-66,-64
55,-59,-4,-27
85,-16,-59,-47
27,9,-85,15
-67,31,-72,36
-72,19,-14,-94
88,27,-72,20
63,-38,47,40
98,9,-42,18
32,-97,97,41
11,-85,-62,68
22,38,84,-74
-69,-80,-49,-1
-73,8,49,-4
-35,67,-69,-53
75,39,28,-11
-17,-89,-48,-35
32,-20,-6,6
30,67,84,31
-54,82,-67,43
18,-60,-27,42
-43,97,-34,78
-87,38,-74,37
42,83,93,-42
65,29,-45,42
74,-70,23,10
-66,-24,-97,-47
-48,1,56,96
100,-88,25,92
-72,29,-85,-70
42,-6,59,-40
88,14,53,77
81,47,-63,64
5,13,52,-68
-3,13,81,-10
-69,-39,-80,-63
6,-66,-95,15
52,43,-94,5
9,-61,-28,27
77,-93,-35,-3
7,-44,1,-48
11,-57,-2,-90
-48,-32,76,-4
-84,-100,-25,90
-79,-35,-11,4
91,23,74,66
38,-58,63,0
14,-91,-49,17
-58,-9,51,-1
-56,60,-99,81
46,-26,-86,-19
-66,-77,93,-94
-19,46,-66,82
19,46,68,-93
45,-99,5,-15
5,-1,49,-65
72,-79,75,-44
-13,12,72,48
90,-58,91,97
68,-5,68,76
42,-35,58,-91
25,43,72,-2
-65,-98,-8,-76
-1,-93,18,-76
7,-89,-50,-28
82,-1,-32,56
-36,3,-75,-68
-92,-72,-30,92
-16,18,-2,66
-72,-48,76,-14
58,-5,3,-19
-25,-88,55,77
14,48,-83,33
67,26,21,87
-22,26,-73,-44
-55,95,-29,35
-28,-7,71,33
-67,42,39,45
32,-19,-6,-46
11,37,76,39
99,-99,66,-78
91,-98,-14,-32
12,7,87,92
81,-17,61,-27
-92,-5,99,-23
31,14,-20,52
6,-27,-23,-38
44,-24,41,38
-59,20,-17,59
2,13,-45,-90
27,-46,-33,68
79,-28,-79,-59
-8,40,-33,-83
76,67,51,-57
-20,-77,-45,73
96,-6,1,26
85,-10,15,-53
64,69,-87,50
-39,-52,69,13
47,-2,90,-9
-61,-23,11,-33
50,-7,37,84
-38,74,-13,-100
-30,56,-40,-65
100,51,24,4
96,44,50,50
-42,-89,53,-59
-87,-9,41,-49
-77,57,-8,-45
64,51,-60,-48
48,93,-2,19
4,24,-16,-44
-23,11,-27,85
-26,67,-65,73
90,81,-46,9
6,3,74,16
39,-62,-77,17
40,82,-46,17
-10,6,-96,59
-58,100,82,-10
52,-15,-90,6
82,-5,-75,-97
-78,18,-68,45
40,-27,42,78
28,16,-33,-89
-58,82,-76,3
67,29,74,56
-21,49,7,71
-76,-85,-1,-50
-70,-55,24,42
96,-54,-61,-97
5,90,-33,83
-38,18,-27,37
67,-74,65,-80
-20,-54,-32,-89
-61,-66,-76,-21
-16,0,-29,89
12,-73,91,62
-25,-75,82,44
-5,54,98,-100
41,79,92,-68
87,-25,47,-93
94,42,78,54
90,-32,-82,-20
-10,48,-90,69
86,-76,-80,55
28,-46,-74,41
-16,-1,-77,82
-80,-21,20,-73
-59,-55,-35,0
-18,4,-31,15
45,-80,54,-64
21,50,66,-65
100,-74,1,-65
42,98,-32,-38
8,57,71,-35
15,15,71,-82
88,49,-73,-93
66,35,22,47
9,57,18,-32
-63,75,-68,12
-95,49,-61,74
53,-85,23,-97
93,-45,25,95
69,17,-53,-20
17,-97,78,86
-12,-97,60,14
-32,3,-48,18
-28,-64,-32,13
-49,-13,68,-81
48,-28,-53,17
-83,0,33,-63
-52,75,60,100
60,45,54,-42
-76,-80,56,-83
-48,35,-18,-47
22,100,-97,-89
5,51,-49,-6
55,52,-37,93
65,-74,44,70
51,-86,-60,34
-16,-20,16,-20
41,-53,81,44
-28,55,-97,-1
19,-30,84,57
-56,-19,23,35
-13,23,-13,61
-81,65,-8,-35
-80,-22,-49,47
73,52,-24,-35
-65,73,-89,-82
59,72,51,-8
-77,87,6,-29
48,89,94,-92
-59,-48,62,100
-65,-71,69,-37
-29,68,-5,-29
-62,-84,94,-84
-41,67,61,-78
68,39,-71,-49
56,11,59,29
-45,10,-33,-28
35,4,16,34
39,-23,-65,-24
-44,54,69,33
-84,69,59,2
-38,38,-82,-23
3,-3,2,-83
66,71,58,-38
-21,50,-66,14
-72,20,95,100
-25,-59,-47,42
59,-3,80,-71
-71,-56,46,93
49,-12,-45,-64
32,33,98,-17
-36,85,-56,96
80,52,68,-92
39,51,87,56
23,-54,-25,-98
-76,56,84,83
-55,-46,33,-54
30,80,-26,80
-73,-37,-99,30
12,62,87,13
33,-67,-79,39
17,57,-51,-24
-28,-43,-56,-49
-63,-85,-99,99
-42,20,88,-52
-3,95,-71,-94
98,-24,-76,97
98,-29,4,-5
29,-40,58,-73
19,-94,-55,-92
-91,8,84,41
-8,43,-82,51
-39,-18,-83,79
-71,61,17,43
-10,13,52,-90
46,11,-47,22
-72,86,9,57
-72,-89,-14,-26
24,-64,58,-29
86,5,-36,-100
-27,-64,-4,4
14,-30,94,-3
15,-45,-10,-59
-54,39,1,-14
87,43,39,-83
-83,95,-58,58
-35,-100,-16,-30
4,50,17,88
94,87,24,-68
-84,-73,-42,60
-94,22,-21,18
19,-30,-95,-100
-78,20,-81,-33
-67,75,68,-73
-19,-94,-44,74
22,68,37,60
32,-22,-36,38
-74,-34,21,-21
-71,-71,85,91
-90,-23,52,97
30,-48,-57,86
49,-97,-89,-20
-12,-11,66,55
27,-71,-79,74
14,78,70,-35
-21,73,-57,47
-33,56,-12,-7
68,-50,-52,-47
7,56,26,70
85,-62,78,15
-60,80,-4,41
-36,9,-13,48
39,24,-38,81
-60,-18,-17,-88
-36,66,57,21
-72,-3,-78,50
91,-47,38,-13
-19,-33,95,-92
68,91,-57,-74
89,27,-30,59
-96,23,-57,-84
48,-83,-17,61
56,-37,95,-95
18,-95,-69,-25
52,17,18,96
38,-70,7,92
89,-57,88,86
50,52,34,50
-42,61,-54,7
29,-93,55,-47
-13,21,24,-56
81,-44,-98,-94
-43,78,-67,49
-12,5,53,-85
31,-32,70,-65
14,-51,-97,57
